scenario,seed,method,rank,selected_learning_rate,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,target_accuracy,target_macro_f1,target_nll,clean_accuracy,clean_macro_f1
rotation,33,DoRA,8,0.03,0.9611111111111111,0.19075612363003427,20,38,3866,0.9305555555555556,0.9284834576715294,0.19180333046661938,0.7111111111111111,0.7014120083541504
rotation,44,Frozen,0,0.0,0.5111111111111111,4.242985651728869,0,0,0,0.5166666666666667,0.5047112152542345,3.822018991020258,0.975,0.9750206860286077
rotation,44,Magnitude-only,0,0.03,0.8777777777777778,0.38982732117841323,118,120,202,0.8694444444444445,0.8693249710737587,0.37616370482200207,0.775,0.7804268656873331
rotation,44,Full fine-tuning,0,0.001,0.9222222222222223,0.30520610850195395,68,86,17226,0.925,0.9253125673107805,0.229291254348212,0.775,0.7713763345441428
rotation,44,LoRA,1,0.03,0.9,0.44057004274594985,36,54,458,0.8833333333333333,0.883041192859427,0.4093215652276838,0.7222222222222222,0.7169396419325829
rotation,44,LoRA,2,0.03,0.925,0.2948340622544083,23,41,916,0.9388888888888889,0.9392349755680209,0.24549406412603234,0.7555555555555555,0.7702790659006855
rotation,44,LoRA,4,0.03,0.9333333333333333,0.3419122014619849,23,41,1832,0.9416666666666667,0.9412440733160441,0.2860660789468566,0.8027777777777778,0.800624440264561
rotation,44,LoRA,8,0.03,0.9333333333333333,0.2980688618437864,20,38,3664,0.9527777777777777,0.9518564274099679,0.2201712651087333,0.7166666666666667,0.7140840714952161
rotation,44,DoRA,1,0.03,0.9,0.36417066585149943,33,51,660,0.8944444444444445,0.8932447817444841,0.35705633937980774,0.7361111111111112,0.7383478771430342
rotation,44,DoRA,2,0.03,0.9166666666666666,0.27945537393532666,14,32,1118,0.9222222222222223,0.9222074722173289,0.24546445086722427,0.7361111111111112,0.7435878643051351
rotation,44,DoRA,4,0.03,0.9305555555555556,0.26309032154490825,16,34,2034,0.9444444444444444,0.9434539796163133,0.20791622838854004,0.7861111111111111,0.7883651639058582
rotation,44,DoRA,8,0.03,0.9305555555555556,0.2637995796349028,14,32,3866,0.9416666666666667,0.9418445849221211,0.18338962404531872,0.7333333333333333,0.7313966479184418
rotation,55,Frozen,0,0.0,0.5111111111111111,4.242985651728869,0,0,0,0.5166666666666667,0.5047112152542345,3.822018991020258,0.975,0.9750206860286077
rotation,55,Magnitude-only,0,0.03,0.8666666666666667,0.47578277477151243,120,120,202,0.8444444444444444,0.8411047477984017,0.4791125416925358,0.7944444444444444,0.8017152606633955
rotation,55,Full fine-tuning,0,0.001,0.9305555555555556,0.2819497327263969,102,120,17226,0.9194444444444444,0.9187232256388311,0.3153491206630073,0.7305555555555555,0.7279800827467544
rotation,55,LoRA,1,0.03,0.9166666666666666,0.271581986011595,52,70,458,0.9027777777777778,0.9025293980570848,0.34932176817828897,0.75,0.741098675957643
rotation,55,LoRA,2,0.03,0.9277777777777778,0.23381726787728377,65,83,916,0.9277777777777778,0.9267508432582714,0.2971847351751159,0.7388888888888889,0.7249299559107583
rotation,55,LoRA,4,0.003,0.9388888888888889,0.244061963381432,120,120,1832,0.9222222222222223,0.9214416822993655,0.31668486457737954,0.7305555555555555,0.7206503466603846
rotation,55,LoRA,8,0.01,0.9416666666666667,0.2730759360721732,78,96,3664,0.9388888888888889,0.938682700246568,0.3213682363941489,0.6972222222222222,0.6937292056614385
rotation,55,DoRA,1,0.03,0.9333333333333333,0.2946259533488919,78,96,660,0.9222222222222223,0.9222292519818138,0.3707082224461515,0.75,0.747462689031579
rotation,55,DoRA,2,0.03,0.9194444444444444,0.23885808245483955,35,53,1118,0.9277777777777778,0.9270611345027273,0.2711520597404024,0.7472222222222222,0.7335207696861206
rotation,55,DoRA,4,0.003,0.9361111111111111,0.22697378910028915,115,120,2034,0.925,0.9246206967333727,0.28227382076295277,0.725,0.7145121721414054
rotation,55,DoRA,8,0.01,0.9388888888888889,0.2558209583404746,61,79,3866,0.9333333333333333,0.93315441006421,0.2740105076604336,0.6694444444444444,0.6701344965103464
mixed,11,Frozen,0,0.0,0.48055555555555557,3.2889899899291626,0,0,0,0.5083333333333333,0.5026981153315153,3.154666943727483,0.975,0.9750206860286077
